bio2,bio3,bio5,bio8,bio9,bio15,bio16,bio18
132,46,332,267,166,40,534,534
118,41,323,266,150,21,498,498
126,43,327,267,151,23,523,523
134,45,329,266,155,24,497,497
129,43,328,267,150,22,460,460
134,46,331,268,163,31,524,524
129,44,328,268,158,26,509,509
128,44,335,267,166,37,509,501
131,45,331,268,158,29,469,469
124,44,327,268,166,33,559,550
124,46,328,268,176,41,524,524
111,44,324,267,155,38,499,482
128,50,329,271,190,48,578,578
108,48,324,271,177,43,499,492
119,47,329,272,162,45,517,517
121,50,331,274,174,50,520,520
128,52,335,273,177,54,568,521
89,48,323,276,195,47,569,535
123,54,331,272,187,59,592,524
135,47,328,267,168,42,411,411
113,47,327,273,196,51,584,570
124,53,332,273,182,61,614,569
108,52,326,274,196,68,628,609
124,43,326,268,155,25,529,529
129,45,329,265,161,28,542,541
129,48,329,268,177,41,535,535
106,46,326,275,198,52,566,543
125,52,333,274,175,53,565,565
119,52,331,275,184,62,603,575
91,50,320,275,194,62,496,491
128,43,325,264,146,20,485,485
132,49,329,268,178,43,557,557
108,47,326,275,174,57,565,560
130,53,334,272,177,57,562,518
91,50,320,273,194,58,597,567
63,43,318,276,227,49,412,390
108,38,322,264,157,35,495,472
127,43,330,268,154,30,441,441
137,44,335,265,194,25,391,391
132,44,330,267,154,23,451,451
133,43,332,112,192,23,400,360
133,42,335,106,185,20,349,325
135,42,325,92,176,20,381,314
137,42,324,92,175,19,398,324
126,43,329,267,150,26,401,401
138,41,328,85,171,15,353,313
130,40,325,85,171,16,370,303
135,45,335,123,199,23,395,392
130,39,321,79,165,14,384,309
132,39,314,65,205,15,419,321
130,39,315,71,208,17,401,312
132,42,331,105,185,21,352,325
130,40,307,69,201,13,440,348
132,40,323,86,171,17,371,312
133,42,327,103,185,22,373,337
137,42,335,264,137,23,387,387
134,41,332,99,181,20,362,313
138,41,314,73,206,18,436,331
130,38,306,54,197,16,440,327
133,42,327,103,185,22,376,336
135,39,318,67,207,18,419,308
130,40,280,41,175,13,491,400
135,41,281,46,176,11,511,429
124,38,317,82,167,17,388,311
134,41,330,96,179,19,374,310
133,41,324,87,171,16,365,313
134,41,326,94,177,18,355,325
131,41,334,109,188,22,354,339
139,43,336,265,187,21,343,343
136,42,331,262,183,19,340,340
128,41,331,110,189,22,357,349
133,42,335,265,142,23,394,394
134,46,330,266,157,26,467,467
137,43,336,266,192,24,375,375
134,44,333,266,195,27,430,430
120,41,329,268,155,33,470,470
136,46,333,267,159,32,499,499
120,42,331,267,163,34,491,485
135,45,333,266,157,31,484,484
129,44,332,267,160,34,496,496
109,38,323,264,154,36,490,473
136,44,334,265,194,27,411,411
134,42,337,267,191,22,385,385
135,42,334,264,141,22,385,385
129,41,333,111,190,22,355,351
129,42,331,114,193,23,366,353
135,43,331,109,189,23,391,350
137,42,324,92,175,19,398,324
136,41,329,92,175,18,363,314
137,41,328,85,170,15,355,306
128,39,320,82,167,16,387,308
126,39,316,83,168,17,390,314
139,41,315,75,207,19,441,330
126,39,308,70,155,15,438,333
134,40,324,80,165,15,368,304
130,39,318,76,162,14,400,327
127,38,285,40,178,13,472,384
133,39,309,57,199,17,439,325
130,38,306,54,197,16,440,327
124,35,267,-27,156,39,314,123
124,36,279,-8,171,39,278,106
128,37,284,-2,173,26,192,106
138,39,274,98,159,25,207,129
158,41,246,-51,122,26,243,138
164,40,243,99,-69,33,126,113
175,42,232,-87,101,27,183,105
165,39,276,129,-8,27,98,86
147,34,292,100,-4,38,97,75
157,39,294,-30,166,50,248,64
154,36,283,-55,121,28,123,75
152,36,306,117,181,23,84,55
154,39,268,-38,150,22,112,80
147,36,307,69,184,19,91,61
125,35,270,-29,157,39,314,121
170,41,218,-93,92,29,196,106
163,39,344,4,208,45,106,33
143,36,266,83,150,16,122,93
131,37,268,-24,152,41,387,131
125,36,307,18,200,24,138,82
155,41,266,-35,142,27,214,119
158,41,249,-49,124,27,233,127
168,41,235,45,-43,22,134,119
156,38,307,-28,178,48,210,60
170,42,233,-76,102,27,217,120
154,40,306,-7,183,31,100,52
162,39,287,-43,157,48,210,63
160,37,288,-49,162,39,150,65
160,37,283,-54,159,32,131,70
163,35,305,109,-50,33,89,64
151,36,261,75,142,18,143,113
169,42,292,-22,159,30,116,60
160,39,335,4,204,36,79,37
145,38,297,116,183,27,85,53
145,38,291,112,180,25,96,67
150,37,285,43,162,17,122,89
116,27,285,210,-61,36,314,314
115,28,286,213,-56,34,316,316
114,27,287,214,-57,35,318,318
113,28,286,212,-51,32,313,313
113,27,297,224,-47,34,316,316
110,27,296,225,-46,34,319,319
121,29,300,203,-43,33,300,298
117,28,295,221,-46,33,309,309
117,28,295,221,-46,33,309,309
115,28,288,195,-51,33,308,307
116,29,294,202,-39,28,297,287
114,28,289,215,-48,31,311,311
114,28,290,152,-41,27,314,300
116,28,303,209,-36,34,305,301
113,27,306,212,-31,33,318,301
118,29,307,214,-25,26,300,286
118,28,304,209,-33,33,312,304
115,28,298,205,-41,31,308,304
116,28,300,206,-38,32,310,309
115,28,302,209,-32,28,302,287
116,28,295,203,-42,30,304,294
117,29,297,205,-36,28,297,285
118,30,302,210,-26,24,308,299
116,29,297,205,-36,28,295,284
114,29,293,202,-34,26,308,297
119,29,308,213,-20,27,308,288
118,30,307,214,-14,24,299,276
119,30,306,212,-19,27,308,287
118,30,310,175,-16,22,294,277
121,30,313,217,-13,21,304,285
121,30,313,217,-13,21,304,285
119,30,311,217,-15,23,298,281
115,29,302,212,-22,23,312,302
116,29,306,214,-17,20,311,292
117,30,308,215,-14,20,308,287
117,30,307,214,-18,21,310,295
117,30,309,216,-12,20,318,296
124,31,320,128,2,18,289,266
115,30,315,183,3,19,295,267
116,30,314,181,-2,19,295,265
116,30,314,181,-2,19,295,265
116,30,314,126,0,18,309,268
119,31,315,128,195,19,343,273
120,31,312,123,0,19,321,274
119,31,311,121,-5,19,317,283
120,31,313,122,-5,19,313,281
117,31,320,139,202,15,364,291
126,32,320,129,7,17,317,285
119,32,319,139,202,15,363,292
121,32,313,132,195,16,363,295
121,33,319,140,203,15,368,293
118,28,285,209,-58,35,315,315
115,27,287,211,-61,35,312,312
109,26,296,226,-42,36,315,315
117,28,292,199,-46,32,304,300
116,28,293,200,-43,29,298,288
113,28,305,212,-30,32,318,300
119,29,309,214,-28,26,298,285
123,30,314,217,-12,24,294,274
119,30,311,175,-14,22,299,275
118,30,309,216,-11,20,309,289
120,32,316,130,196,18,344,272
117,31,320,139,202,15,364,291
115,27,288,213,-58,34,315,315
109,27,305,214,-23,30,320,302
114,27,284,211,-63,37,315,315
118,28,286,209,-62,36,310,310
116,28,288,212,-57,33,315,315
117,28,303,228,-38,34,301,301
117,28,290,216,-49,34,314,314
116,28,291,197,-46,30,304,302
119,30,304,211,-27,25,304,289
117,29,299,207,-34,27,297,283
117,30,297,205,-25,24,322,313
119,30,306,212,-19,27,308,287
120,30,304,212,-22,23,310,299
117,30,306,214,-15,20,319,301
119,30,315,179,-6,20,299,267
120,31,312,123,0,19,321,274
122,32,315,129,6,17,332,280
119,32,319,139,202,15,363,292
117,29,290,150,-37,26,309,302
115,29,292,196,-34,23,305,305
116,29,291,195,-34,24,308,301
112,29,286,210,-25,22,284,284
114,30,281,185,-26,22,281,277
116,29,293,201,-37,26,312,304
115,29,295,202,-30,25,304,301
118,30,295,200,-31,23,298,296
114,29,289,198,-16,21,298,292
118,30,295,201,-24,21,320,313
110,29,290,200,-26,20,304,291
117,30,288,194,-35,22,308,296
114,29,294,199,-30,21,283,273
118,30,306,213,-12,21,329,305
115,30,298,208,-13,19,318,298
120,31,300,208,-11,20,344,321
118,31,292,198,-22,21,329,303
119,31,295,202,-14,20,330,302
117,31,297,206,-16,20,322,297
124,32,300,201,-13,18,322,296
120,32,315,130,196,17,346,283
124,33,306,212,1,18,350,323
122,33,300,207,181,17,337,310
123,33,303,118,184,16,342,310
121,33,306,122,189,15,340,307
120,32,316,133,198,16,344,280
109,28,289,217,-17,20,295,295
115,29,292,199,-30,20,303,297
112,29,290,198,-28,20,304,291
109,28,290,218,-33,25,293,293
112,28,289,149,-39,27,307,300
112,29,283,208,-42,23,283,283
118,30,293,154,-35,25,308,300
116,30,295,201,-27,20,309,303
114,29,294,199,-30,21,283,273
119,30,301,208,-21,22,325,315
120,31,306,213,-8,21,343,314
125,33,303,209,0,18,348,323
122,33,302,115,-1,16,331,301
119,32,317,134,199,17,346,277
119,28,307,219,-37,36,325,318
122,29,305,207,-35,40,331,324
121,28,304,205,-48,39,332,327
113,27,290,218,-54,37,320,320
118,27,301,227,-50,38,326,326
121,28,294,218,-58,43,332,332
123,28,302,204,-54,47,323,320
124,28,301,203,-58,48,325,321
121,28,303,208,-47,50,316,301
115,27,289,216,-61,37,317,317
121,28,292,213,-66,43,335,335
125,28,302,203,-61,49,326,321
121,27,295,218,-68,50,331,331
127,28,304,205,-57,53,287,267
118,27,282,207,-79,47,329,329
115,26,277,203,-89,47,329,329
118,26,289,214,-79,52,320,320
124,27,296,217,-78,54,302,302
126,29,309,231,-40,49,333,333
119,27,298,223,-56,39,331,331
93,17,204,117,-173,44,110,101
113,20,228,127,-141,33,109,107
109,21,219,124,-124,42,137,136
112,20,231,151,-122,42,153,153
110,22,227,149,-207,55,205,205
87,16,153,70,-295,50,112,107
96,17,210,122,-170,42,109,101
114,23,255,178,-159,55,230,230
116,23,262,183,-151,54,224,224
116,23,265,186,-145,55,219,219
131,26,269,181,-140,61,210,210
127,25,263,178,-121,60,213,213
103,21,249,177,-136,51,226,226
111,22,253,177,-138,51,227,227
124,25,246,163,-134,54,221,221
120,24,258,175,-154,50,203,203
112,23,239,160,-169,51,212,212
117,23,251,169,-165,54,199,199
122,23,250,168,-76,45,225,225
114,23,251,171,-165,53,201,201
104,21,240,167,-176,51,204,204
89,17,173,95,-250,43,168,159
113,23,251,174,-158,54,249,249
114,23,256,178,-157,55,229,229
119,23,260,180,-160,53,228,228
126,25,266,181,-149,57,212,212
127,26,263,179,-115,63,214,214
125,25,266,180,-119,55,207,207
129,26,271,182,-113,55,193,193
113,22,251,174,-141,49,224,224
127,24,251,166,-175,45,226,226
122,24,256,174,-160,52,210,210
117,24,241,161,-164,51,224,224
117,23,256,174,-155,51,199,199
116,23,252,174,-158,56,253,253
118,24,267,187,-142,55,219,219
116,23,264,185,-148,55,221,221
128,25,264,178,-121,59,212,212
127,25,270,183,-142,56,199,199
105,21,250,176,-159,51,238,238
112,22,252,176,-139,50,225,225
129,25,252,166,-176,47,219,219
121,24,265,182,-155,55,210,210
123,24,256,173,-160,52,210,210
112,23,240,161,-167,48,215,215
118,24,264,184,-148,56,219,219
128,25,266,179,-120,60,212,212
125,25,255,172,-121,64,220,220
107,22,250,176,-136,51,227,227
123,24,256,174,-169,50,229,229
126,33,329,190,23,33,357,304
124,31,331,188,9,38,356,325
126,31,331,230,7,41,360,344
133,32,333,227,2,46,339,322
130,31,342,236,8,43,304,280
130,31,342,236,11,43,310,285
140,33,344,232,7,49,265,251
143,34,342,230,9,48,266,251
149,35,347,235,18,50,258,241
159,37,351,235,16,53,248,229
166,37,341,218,-2,65,203,192
124,30,321,222,-8,40,334,316
127,31,325,224,-5,46,355,330
130,31,330,226,-8,50,341,316
130,31,330,225,-5,49,338,312
132,31,334,228,-8,50,334,311
139,32,335,224,-10,52,291,273
151,35,341,224,-4,56,249,237
147,34,333,217,-11,56,256,245
166,38,337,210,-7,64,219,196
154,35,331,212,-12,62,259,229
121,30,320,224,-6,46,351,332
123,30,321,223,-10,48,359,338
135,31,327,220,-24,53,316,308
128,30,322,220,-20,50,346,335
135,31,327,219,-23,53,316,306
133,31,335,226,-8,53,318,292
151,33,340,222,-20,54,261,239
153,34,334,215,-22,59,263,241
155,35,337,216,-10,59,249,229
160,37,343,226,9,55,238,219
159,37,325,200,-10,66,220,194
135,33,336,190,17,39,342,295
133,31,340,231,-4,49,312,287
123,32,328,189,20,33,364,312
126,31,331,188,9,38,356,317
134,32,333,229,6,44,339,317
125,30,337,233,6,47,313,288
141,33,342,230,7,49,263,251
145,34,341,227,3,54,261,249
159,37,339,221,2,62,224,207
127,31,327,183,-1,38,361,337
118,29,320,225,-2,44,364,344
130,31,329,224,-9,46,336,307
130,31,333,227,-6,48,328,297
146,34,340,226,-1,54,261,249
160,36,336,215,-8,58,233,217
166,37,336,211,-9,63,208,194
124,30,318,221,-19,48,353,341
131,30,326,222,-23,53,343,328
132,31,331,222,-16,54,307,288
155,36,333,212,-10,62,249,219
162,38,333,207,-5,65,224,197
140,32,335,221,-22,54,289,270
132,38,294,202,180,13,369,351
120,32,321,142,204,15,376,299
122,33,319,143,203,14,376,303
123,34,316,142,202,14,370,295
131,35,320,139,201,15,367,299
125,34,315,136,198,14,364,307
127,35,308,218,195,13,372,347
131,37,305,214,192,12,366,344
126,36,294,126,184,11,372,349
128,36,299,209,187,11,363,342
121,34,298,210,188,13,361,336
123,35,299,211,189,13,364,339
121,34,305,215,139,15,342,316
127,35,303,211,190,13,371,345
126,35,310,134,195,14,370,323
123,33,312,131,196,14,353,295
124,34,308,129,193,13,357,312
124,34,307,129,193,14,358,313
121,33,302,117,3,16,330,300
125,34,300,116,131,16,332,313
121,33,300,117,133,16,335,305
125,34,300,208,133,15,342,324
127,34,300,206,131,16,342,324
136,37,302,207,132,15,357,341
136,37,301,207,134,14,352,336
125,34,315,138,200,14,359,291
126,35,308,132,193,14,364,325
124,34,316,139,200,14,363,291
129,35,307,121,187,16,349,314
134,36,297,201,127,16,328,318
135,36,300,203,129,16,323,315
134,44,334,106,194,15,458,431
133,43,334,149,193,16,455,411
111,39,325,271,203,19,482,482
123,41,331,102,238,13,436,368
105,37,328,274,158,16,425,425
126,41,335,113,239,14,425,362
128,40,339,186,235,21,424,293
125,40,334,93,236,17,420,314
130,39,337,178,230,17,396,289
105,38,322,271,160,25,529,529
106,38,324,271,158,20,493,493
133,43,332,101,191,15,460,410
117,40,328,271,200,13,424,424
109,38,327,267,157,15,448,447
129,40,336,89,234,18,433,307
123,38,336,98,232,22,418,281
107,39,324,271,159,22,506,506
104,37,326,269,159,18,466,460
120,42,329,270,202,15,450,450
128,42,329,101,192,14,450,393
117,40,330,258,200,11,411,398
119,40,333,258,155,13,408,388
125,40,337,187,236,19,426,303
132,40,337,87,232,18,419,301
137,41,339,86,232,15,376,305
120,36,334,178,231,22,410,279
132,39,337,174,227,14,382,283
133,39,339,80,232,16,367,286
100,37,325,271,169,17,480,463
89,35,320,271,174,21,511,471
111,41,327,268,165,19,513,501
108,40,325,268,165,23,537,536
120,40,333,105,199,10,416,379
130,40,341,95,239,16,404,308
122,37,337,180,232,21,410,280
123,38,337,181,233,21,412,281
131,40,337,180,231,17,404,293
127,38,338,91,232,14,350,283
137,41,338,81,261,16,364,286
132,39,337,173,227,16,387,285
128,38,338,175,232,13,346,283
96,36,323,271,161,20,463,458
117,40,329,267,202,16,433,421
130,40,338,94,237,15,406,320
129,40,337,89,233,18,414,291
125,37,336,176,230,20,404,285
135,40,340,82,233,16,362,282
132,40,338,87,233,17,415,312
128,40,337,91,234,19,422,295
112,39,331,260,158,13,418,410
108,40,325,268,165,23,537,536
107,38,328,260,157,17,426,421
130,42,333,117,194,16,452,424
99,37,321,268,161,26,529,527
122,40,334,115,239,11,430,371
116,30,275,40,198,14,346,247
120,30,276,37,189,14,345,251
114,30,273,42,198,14,339,241
118,28,233,158,-89,17,316,316
117,28,234,160,-86,13,310,310
123,30,265,19,-51,11,331,276
120,29,263,17,-56,11,319,277
110,28,263,29,183,12,328,254
125,29,262,9,-65,12,302,276
115,29,260,19,-52,12,338,263
113,28,262,19,-52,11,316,255
113,29,255,19,180,14,353,250
118,28,239,162,-87,15,292,292
116,28,231,157,-90,13,308,308
121,29,259,6,-68,11,307,273
115,27,236,161,-96,19,307,307
120,28,243,165,-88,14,303,303
124,29,257,-1,-79,14,294,278
123,29,259,3,-75,14,298,277
119,27,239,161,-99,16,310,310
121,28,253,160,-36,14,284,279
123,28,242,150,-102,18,302,299
115,26,238,162,-101,18,303,303
116,29,265,22,180,11,325,269
114,29,266,27,183,11,317,258
124,30,273,22,-50,11,303,264
113,26,238,162,-100,19,306,306
110,26,235,161,-98,20,313,313
121,28,243,166,-87,16,296,296
113,29,262,28,188,15,353,251
131,31,267,16,-53,11,345,291
120,33,259,167,-30,13,317,307
121,34,256,164,-29,13,340,332
131,35,296,194,-8,15,274,263
133,35,300,196,-6,15,272,261
124,33,301,202,-3,13,280,269
116,32,290,196,-9,11,299,285
116,32,290,196,-9,11,299,285
122,33,299,158,-3,10,291,273
118,33,302,210,10,11,298,293
118,33,302,210,10,11,298,293
120,33,297,200,-2,10,293,280
120,33,297,200,-2,10,293,280
116,32,294,200,-3,10,304,290
116,32,295,202,0,10,310,296
115,32,290,197,-6,10,307,292
116,32,302,207,6,10,310,299
115,32,307,236,25,12,315,315
117,33,305,212,13,11,302,298
109,32,307,235,30,11,302,301
113,33,301,235,22,11,300,300
114,33,302,237,23,11,289,289
114,33,302,237,23,11,289,289
113,32,298,228,18,12,316,316
113,32,300,229,8,11,309,309
113,32,300,229,8,11,309,309
115,33,302,224,15,11,306,302
114,32,306,235,16,11,312,312
111,32,308,239,21,12,311,311
113,33,306,229,87,11,315,313
113,33,306,229,87,11,315,313
109,32,306,231,24,11,314,312
105,31,306,236,94,11,307,305
105,31,306,236,94,11,307,305
106,31,306,234,92,12,311,309
115,33,307,229,89,12,318,315
113,33,306,231,92,13,318,315
104,32,299,231,96,14,305,300
105,32,296,228,148,14,313,310
119,33,256,164,-35,13,317,308
121,34,256,164,-29,13,340,332
120,33,261,169,-31,13,307,297
128,34,294,194,-8,15,276,265
125,34,289,190,-13,14,280,267
113,33,301,235,22,11,300,300
120,33,259,167,-30,13,317,307
118,33,302,210,10,11,298,293
119,33,297,204,4,12,294,285
111,31,309,240,19,12,307,307
116,33,304,234,17,12,305,305
114,33,302,234,20,12,304,304
110,32,306,239,27,11,304,304
111,32,303,236,23,11,306,306
111,33,301,229,92,14,319,314
102,31,294,228,149,14,309,306
109,33,299,229,147,14,317,314
115,32,297,204,2,10,317,305
78,26,244,68,191,12,320,238
98,29,271,18,180,11,340,270
110,31,279,12,183,9,331,271
107,30,278,12,183,10,336,265
109,30,276,51,204,13,338,250
119,31,279,-4,181,9,313,258
121,31,277,40,200,8,309,265
121,31,273,40,-26,6,321,294
111,31,279,9,182,9,329,267
122,31,278,132,-27,7,298,294
127,31,272,167,-41,8,299,299
118,30,262,164,-45,9,327,319
118,30,262,164,-45,9,327,319
87,27,260,26,176,12,328,256
117,31,263,31,-35,6,311,294
123,31,284,136,-24,7,295,289
113,29,255,159,-49,11,327,326
110,26,227,138,-60,16,311,307
106,25,229,154,-59,12,308,308
103,25,252,-49,127,13,341,264
94,24,235,3,-37,10,309,270
103,25,247,-54,-35,11,313,267
90,23,233,-49,-34,13,324,262
118,27,251,161,-35,13,278,276
111,26,242,-11,-41,11,310,289
107,26,248,-52,-28,10,318,276
114,27,251,-59,-34,10,314,276
112,27,253,-58,-34,10,300,271
106,26,255,-47,128,13,346,267
97,27,237,-28,93,12,331,262
112,29,251,17,175,14,333,245
87,26,221,-21,161,14,371,261
100,27,234,-34,95,13,370,281
101,27,239,-40,37,11,352,280
108,25,230,143,-56,14,309,303
111,26,236,151,-47,15,297,296
99,24,232,160,-94,12,291,291
110,26,234,158,-52,12,305,305
103,26,249,-43,-21,10,318,269
63,26,171,-1,84,12,424,344
70,26,189,37,96,12,408,324
75,26,200,-6,104,20,458,304
73,26,190,-9,101,14,385,299
64,23,182,-16,13,14,463,367
62,21,175,14,0,15,432,337
72,25,200,29,102,15,302,246
79,26,203,-16,109,13,311,262
97,28,212,4,5,16,325,277
72,24,183,-33,1,16,435,345
68,23,191,-18,12,16,397,322
80,26,205,-22,107,13,291,257
88,27,216,-24,113,12,288,257
97,27,218,100,4,14,293,269
79,24,192,7,5,17,311,290
87,25,194,-11,-9,14,307,279
75,23,176,96,-3,15,304,298
75,24,170,-56,-13,11,317,294
102,24,208,131,-87,18,302,302
107,23,189,105,-180,24,304,295
109,23,189,103,-129,29,302,294
105,22,184,102,-129,29,302,294
102,23,188,106,-114,19,308,304
91,23,176,103,-95,17,342,332
75,26,191,26,102,11,396,328
79,23,196,-42,0,19,359,295
75,23,172,-57,-9,13,312,292
80,23,163,100,23,11,266,266
71,22,145,-76,17,10,314,298
122,28,259,166,-81,27,259,258
125,28,254,169,-92,28,289,289
121,27,250,169,-94,33,300,300
133,30,257,157,-105,39,280,279
129,29,258,159,-104,36,275,272
130,30,258,170,-103,38,288,288
110,27,250,161,-77,26,271,261
121,28,253,158,-99,30,269,262
123,29,246,150,-105,27,273,266
105,27,243,126,-30,22,269,245
106,27,245,127,-29,23,266,241
104,28,265,147,-42,23,275,242
110,29,272,150,-36,23,278,238
104,28,269,152,-32,22,270,232
107,28,281,199,-23,20,279,270
102,28,272,194,-24,20,274,262
103,27,283,207,-16,19,280,278
105,27,241,128,-29,22,257,231
101,27,236,125,-32,21,261,239
102,27,249,134,-63,24,253,230
115,29,270,141,-51,25,262,233
115,29,283,194,-33,25,266,263
106,29,275,156,-29,22,266,242
112,29,286,199,-28,23,276,274
111,29,283,198,-27,22,280,278
109,29,273,191,-27,20,276,267
117,29,279,144,-56,27,264,247
112,29,286,210,-25,22,284,284
103,26,241,124,-34,20,266,241
105,26,245,126,-79,24,265,241
120,29,275,179,-54,28,255,238
122,29,269,170,-67,28,259,245
121,30,277,181,-52,28,252,235
113,29,282,191,-49,26,249,239
113,29,279,182,-43,23,272,271
113,29,285,209,-22,20,256,256
116,30,283,185,-39,20,269,266
120,30,270,176,-55,27,246,234
114,29,285,192,-49,28,244,228
103,27,267,185,-43,20,243,230
99,26,285,214,-21,20,246,246
118,29,269,136,-58,28,272,244
118,30,273,141,-49,25,280,246
120,30,277,142,-47,25,271,247
116,29,285,153,-36,24,269,254
121,29,268,171,-63,30,271,254
110,28,261,174,-58,26,242,234
113,29,284,192,-47,28,241,232
107,28,282,206,-32,24,244,244
97,26,279,208,-26,18,234,234
108,28,268,143,-49,22,267,236
121,27,283,204,-87,47,316,316
115,25,282,207,-89,50,325,325
115,25,286,212,-84,52,321,321
118,25,282,205,-97,50,313,313
116,25,284,209,-90,50,313,313
120,26,285,207,-96,52,308,308
119,26,285,209,-90,51,311,311
119,25,289,211,-94,51,270,270
128,27,296,213,-93,50,248,248
124,26,283,200,-106,52,308,308
116,25,286,209,-90,50,312,312
119,25,289,210,-98,52,300,300
121,26,287,209,-100,51,241,241
119,25,287,209,-101,52,248,248
121,25,284,203,-107,53,251,251
126,27,260,173,-119,49,307,307
127,26,267,185,-125,53,312,312
124,25,265,186,-130,56,294,294
122,25,284,202,-122,58,243,243
124,25,288,205,-117,57,245,245
121,28,235,158,-112,35,261,261
117,27,234,160,-109,44,284,284
113,25,247,170,-125,48,293,293
101,24,233,158,-106,46,293,293
127,27,259,175,-124,55,301,301
129,26,257,176,-138,56,304,304
123,25,262,183,-140,61,278,278
122,24,279,197,-133,60,244,244
125,25,276,192,-136,62,254,254
129,26,256,170,-143,50,293,293
130,26,261,175,-143,55,292,292
119,24,255,178,-152,59,263,263
125,25,264,183,-141,59,280,280
131,26,268,183,-139,62,264,264
132,26,267,182,-143,63,262,262
127,25,263,179,-153,60,238,238
123,24,265,183,-153,58,221,221
116,26,283,207,-90,49,321,321
115,26,287,213,-83,52,319,319
124,27,288,208,-92,52,286,286
122,26,288,207,-89,47,312,312
121,26,283,205,-97,50,312,312
118,25,288,209,-102,52,294,294
118,25,283,204,-108,51,261,261
121,25,284,203,-107,53,251,251
132,28,267,177,-118,50,309,309
131,27,268,180,-121,52,312,312
129,26,273,190,-120,52,298,298
120,24,280,200,-120,56,265,265
116,26,237,161,-115,45,288,288
110,25,238,162,-122,46,298,298
131,26,258,176,-144,56,298,298
127,26,259,179,-137,55,297,297
123,25,280,198,-128,58,247,247
129,26,256,170,-142,51,295,295
124,24,257,177,-154,62,261,261
125,24,264,181,-153,60,231,231
122,27,280,201,-90,47,325,325
125,26,263,184,-127,56,294,294
124,25,263,183,-140,60,282,282
124,40,332,98,235,18,441,334
119,34,330,163,219,21,416,274
133,39,327,164,219,20,421,295
133,42,331,107,230,18,449,351
126,42,332,119,196,16,446,421
133,38,329,156,212,19,421,286
131,39,329,127,223,21,430,302
129,38,330,166,220,20,418,292
140,44,332,109,186,18,449,406
122,41,330,264,150,18,484,473
120,35,334,124,226,21,390,267
130,42,334,115,191,16,453,411
136,39,324,153,210,20,433,297
123,41,332,101,237,14,439,355
120,35,331,164,220,20,412,280
136,40,327,120,217,21,425,294
121,41,329,263,198,17,443,434
128,39,329,171,224,21,421,286
103,38,323,268,158,19,504,490
117,31,324,144,205,16,381,289
137,35,330,139,201,16,366,269
137,35,320,130,12,18,341,275
136,35,324,183,17,21,324,273
129,34,314,179,15,24,357,300
132,34,319,183,20,25,358,297
121,32,324,139,201,16,361,283
136,34,321,130,7,16,352,290
135,34,320,132,12,20,324,283
142,35,320,176,3,20,310,282
127,32,319,180,9,25,336,290
130,33,320,180,9,26,348,300
134,33,325,180,4,31,358,310
126,33,319,181,14,29,357,306
130,33,320,180,4,23,323,285
127,31,317,217,-9,25,318,288
129,32,319,179,0,29,339,294
123,31,320,180,2,30,332,288
119,29,314,218,-14,33,338,313
118,29,313,218,-16,33,344,318
124,30,318,220,-11,37,342,320
126,30,316,219,-19,45,356,339
122,30,308,219,-26,37,323,316
135,34,326,135,198,16,356,281
144,36,327,134,196,16,358,279
139,35,329,186,23,20,333,275
133,34,315,178,11,23,340,291
126,33,324,137,199,16,361,286
131,33,318,126,4,18,324,286
137,35,317,129,11,19,326,283
132,32,320,177,-2,25,319,277
134,33,324,181,8,26,330,286
128,32,317,217,-7,25,306,281
121,29,315,218,-18,33,333,314
121,30,318,223,-12,44,361,341
123,30,307,218,-29,37,324,319
126,29,313,222,-35,44,326,314
126,30,313,216,-32,48,335,331
133,34,314,124,6,18,327,288
127,31,316,174,-8,31,350,311
126,31,319,220,-8,38,358,333
116,29,311,217,-19,29,313,293
124,30,317,219,-16,38,338,318
125,29,312,213,-31,42,330,314
118,28,309,222,-35,34,329,314
135,34,320,179,1,19,298,269
136,36,249,-56,131,26,232,141
131,36,252,-47,139,22,187,145
159,35,305,170,-65,59,159,132
146,34,271,147,-74,52,182,153
156,33,294,166,-57,60,153,131
157,33,295,164,-93,66,155,133
148,30,291,164,-110,69,166,151
147,39,274,-36,148,27,214,119
122,34,270,105,20,24,155,133
135,36,244,-54,129,21,184,138
143,38,252,120,-5,38,171,145
134,33,281,155,-39,56,171,141
141,34,287,160,-42,55,181,146
156,34,295,163,-68,60,172,143
157,33,303,168,-62,63,159,132
158,33,307,173,-79,64,156,134
146,31,302,173,-80,68,167,146
142,38,257,76,-7,21,144,120
148,38,264,83,-2,23,134,112
145,37,253,119,-46,35,155,134
151,37,275,139,-49,52,143,123
166,42,258,71,-46,27,141,119
143,38,247,70,-61,29,216,171
154,38,292,111,-36,54,178,128
153,36,307,124,-35,50,168,107
148,36,241,57,88,19,131,112
137,37,268,90,7,22,138,115
124,35,271,106,21,23,157,131
144,38,266,81,0,21,141,115
166,42,245,56,115,20,152,124
153,40,220,83,-90,34,150,135
154,38,241,101,-91,35,133,120
140,38,275,-28,153,39,330,128
131,35,226,65,-18,27,196,174
146,35,272,150,-64,65,152,135
155,38,280,141,-49,65,123,109
147,37,276,142,-44,53,153,127
161,41,241,55,-28,24,149,126
128,29,315,216,-36,47,326,321
132,31,319,213,-28,52,299,280
125,29,312,212,-36,53,296,279
140,32,314,205,-34,59,290,263
142,33,309,198,-35,63,278,252
119,28,305,211,-40,52,305,291
